year_month,amount
1970-09,1098644187.70824
1970-10,1096708921.82818
1970-11,1088865585.6464
1970-12,1059738568.7057999
1971-01,1054823236.3268
1971-02,1054083967.1947001
1971-03,1051205133.8946701
1971-04,1055238252.8202
1971-05,1044663097.5348301
1971-06,1039504735.5703801
1971-07,1040122136.2712499
1971-08,1033482422.37571
1971-09,1032351512.6150601
1971-10,1031741626.9161899
1971-11,1031262096.1254399
1971-12,1030277310.42334
1972-01,1029895863.9684299
1972-02,1014515046.92854
1972-03,1014841261.3545401
1972-04,1014176625.65599
1972-05,1016378893.79303
1972-06,1018170919.46918
1972-07,1019013426.16773
1972-08,1019696491.98993
1972-09,1020023648.3131601
1972-10,1020646216.2379999
1972-11,1022058606.28732
1972-12,1021501211.65589
1973-01,1022705739.7990099
1973-02,1022322881.50332
1973-03,1022430092.05267
1973-04,1022055092.05267
1973-05,1022546069.55707
1973-06,1022291838.8273901
1973-07,1022406838.82739
1973-08,1022469181.25351
1973-09,1022193919.4021101
1973-10,1022473551.5528101
1973-11,1021721893.68006
1973-12,1024084795.22262
1974-01,1023861982.22262
1974-02,1023864872.42842
1974-03,1023035912.4284201
1974-04,1023038812.42842
1974-05,1023610349.00791
1974-06,1023449445.46006
1974-07,1023568530.49185
1974-08,1023323913.12365
1974-09,1023253153.67423
1974-10,1023606794.56411
1974-11,1023211744.64894
1974-12,1022081852.6751
1975-01,1021835311.76181
1975-02,1021371394.84577
1975-03,1021230607.30964
1975-04,1020786604.4177101
1975-05,1021226613.7329
1975-06,1020679768.45761
1975-07,1020590075.86367
1975-08,1020169069.41151
1975-09,1020807434.2057301
1975-10,1020699241.97378
1975-11,1020693566.2752299
1975-12,1020554216.83981
1976-01,1020555119.4524499
1976-02,1020777109.4524499
1976-03,1015645593.4023199
1976-04,1015744057.40232
1976-05,1016577084.55304
1976-06,1016398379.88378
1976-07,1016498632.04134
1976-08,1016771835.1775299
1976-09,1016844526.78403
1976-10,1015930594.07004
1976-11,1015474181.81018
1976-12,1016072979.15812
1977-01,1021571114.6222099
1977-02,1021525434.57854
1977-03,1021814953.83067
1977-04,1018944598.71158
1977-05,1019955160.48224
1977-06,1019959300.07688
1977-07,1019134340.37833
1977-08,1018655502.88351
1977-09,1017139630.85845
1977-10,1016524303.9847699
1977-11,1013438926.2805
1977-12,1031034547.1226301
1978-01,1030844904.6557
1978-02,1030474666.0424601
1978-03,1032358089.10585
1978-04,1032517092.7839899
1978-05,1032313331.2718301
1978-06,1032503354.3480799
1978-07,1032135533.77286
1978-08,1031947172.20783
1978-09,1033366558.97141
1978-10,1033132055.4036299
1978-11,1032972887.6665099
1978-12,1038671479.3743399
1979-01,1037196015.8828899
1979-02,1036188919.66523
1979-03,954475031.47129
1979-04,952971285.274711
1979-05,951224708.313606
1979-06,950765798.385865
1979-07,945534535.54829
1979-08,944826852.602641
1979-09,942819779.842036
1979-10,942372383.1324849
1979-11,940673012.6514139
1979-12,947576150.9330311
1980-01,948386651.172181
1980-02,949699563.830595
1980-03,951303052.934913
1980-04,951107492.654667
1980-05,952379407.774652
1980-06,952424465.2922319
1980-07,953219612.740236
1980-08,953726439.5256131
1980-09,954023442.070445
1980-10,954494789.086231
1980-11,955049478.310974
1980-12,956248239.597421
1981-01,957284982.274539
1981-02,957491450.0960959
1981-03,957651185.4079169
1981-04,957383065.413267
1981-05,957733025.464236
1981-06,957769847.021518
1981-07,958436203.582898
1981-08,958786459.443166
1981-09,958933369.5935439
1981-10,956178018.147825
1981-11,955541123.028322
1981-12,955393700.765049
1982-01,955607925.30702
1982-02,955448300.9607539
1982-03,954392312.944854
1982-04,954383892.250864
1982-05,954610991.855763
1982-06,954867180.1717889
1982-07,953543573.184551
1982-08,953627575.1438481
1982-09,953294901.392382
1982-10,951809493.936437
1982-11,951935890.619833
1982-12,950964474.6536521
1983-01,951033344.12211
1983-02,951034617.4438361
1983-03,950799189.6875271
1983-04,950579835.562376
1983-05,950717897.923025
1983-06,949859974.896786
1983-07,949615287.509662
1983-08,949343435.552064
1983-09,949062457.766031
1983-10,949279686.8018631
1983-11,949526532.431944
1983-12,949345871.899781
1984-01,949495417.051122
1984-02,948084271.313347
1984-03,949115944.5724471
1984-04,949375498.868113
1984-05,949238975.3727261
1984-06,949093013.174169
1984-07,949472374.3943729
1984-08,948598485.2406571
1984-09,948390894.896236
1984-10,948356668.786263
1984-11,947718594.8312991
1984-12,948295845.502617
1985-01,949512880.9793351
1985-02,949500780.538687
1985-03,949879360.1189729
1985-04,950120644.679773
1985-05,950607515.4200569
1985-06,950870638.9735041
1985-07,950803957.3144909
1985-08,950768483.7160901
1985-09,949695156.408396
1985-10,949955347.501642
1985-11,950512686.583596
1985-12,950880835.21615
1986-01,949644432.788669
1986-02,950535601.211921
1986-03,951718737.602672
1986-04,951304938.95611
1986-05,951463710.831893
1986-06,951224199.24772
1986-07,951246581.382528
1986-08,951578823.9457059
1986-09,951216630.7738041
1986-10,950898131.566362
1986-11,950641686.911089
1986-12,950984536.030164
1987-01,949540671.650592
1987-02,950322547.889877
1987-03,949893344.928684
1987-04,949320492.87567
1987-05,948567534.926579
1987-06,947669668.006236
1987-07,945317977.664745
1987-08,944853696.8953741
1987-09,945147956.769545
1987-10,945483952.8719239
1987-11,945343006.199504
1987-12,945460164.6217489
1988-01,944434520.624655
1988-02,946523822.570293
1988-03,947134962.561578
1988-04,947895655.7043
1988-05,947954054.0706451
1988-06,947037633.864862
1988-07,947672854.0066121
1988-08,948003174.597599
1988-09,948204877.843743
1988-10,946746984.5703851
1988-11,946350665.6235981
1988-12,946775120.3716819
1989-01,948333433.568797
1989-02,948482257.974806
1989-03,944678987.909791
1989-04,944714211.128094
1989-05,945036439.0578331
1989-06,944263787.436146
1989-07,944221792.8993859
1989-08,944271549.445459
1989-09,943470224.213485
1989-10,942416678.354091
1989-11,941878441.628459
1989-12,941084907.532137
1990-01,941198269.4231321
1990-02,940358065.0894799
1990-03,940785022.6069889
1990-04,940656036.030598
1990-05,941004001.064934
1990-06,941264423.895947
1990-07,941078296.370923
1990-08,940808681.077716
1990-09,940159789.491904
1990-10,940167834.778704
1990-11,939678701.634658
1990-12,939385697.624398
1991-01,939056786.932385
1991-02,937796486.945436
1991-03,938106630.065796
1991-04,937290817.937281
1991-05,938420250.64303
1991-06,938785153.371756
1991-07,938914933.396816
1991-08,939290844.5486691
1991-09,939104681.6559961
1991-10,938353322.23816
1991-11,937516436.852103
1991-12,939440793.919798
1992-01,940789949.9937999
1992-02,940433974.8137059
1992-03,941309015.202701
1992-04,940738308.187439
1992-05,939329513.8743551
1992-06,931631300.761037
1992-07,931916451.1664721
1992-08,931540655.63319
1992-09,931487097.0726459
1992-10,931523565.2662239
1992-11,931238926.012877
1992-12,928921390.039537
1993-01,927609788.531569
1993-02,914128418.61218
1993-03,913689962.081775
1993-04,916236123.219046
1993-05,914645113.0392799
1993-06,913741702.6694239
1993-07,912301066.862422
1993-08,911970609.804381
1993-09,911831378.997558
1993-10,912296811.785095
1993-11,911865650.739532
1993-12,923348304.056103
1994-01,922564143.816491
1994-02,922783901.245358
1994-03,922942986.814644
1994-04,923069528.367398
1994-05,922565143.601657
1994-06,920328436.947281
1994-07,919772442.86328
1994-08,919198345.946914
1994-09,918887037.119944
1994-10,918471888.968532
1994-11,918717994.146181
1994-12,919275159.5635719
1995-01,913300356.142987
1995-02,912833016.7433001
1995-03,913117146.138478
1995-04,907670741.1987
1995-05,907265501.144976
1995-06,908113463.549545
1995-07,909748416.623533
1995-08,910099161.962836
1995-09,910132185.223674
1995-10,910288704.682487
1995-11,910088165.982717
1995-12,910332373.917673
1996-01,910677635.486235
1996-02,910760161.057158
1996-03,905505091.175653
1996-04,906690359.745193
1996-05,906962026.8583
1996-06,907344942.226143
1996-07,906855450.587467
1996-08,907625711.8316001
1996-09,908415583.159514
1996-10,908549481.032128
1996-11,908125250.616411
1996-12,908514364.466196
1997-01,909121361.8153651
1997-02,902296042.105394
1997-03,898572061.238749
1997-04,901725795.4092641
1997-05,900050968.3498031
1997-06,895405521.806165
1997-07,895136289.775247
1997-08,893354187.934329
1997-09,893138002.56682
1997-10,892971849.658515
1997-11,890878990.597669
1997-12,891631141.238472
1998-01,890728627.0383509
1998-02,892420187.20332
1998-03,881888946.172027
1998-04,881998842.192168
1998-05,882730174.774057
1998-06,884126386.722717
1998-07,886273537.602422
1998-08,883032288.286484
1998-09,881902441.855132
1998-10,881724475.055979
1998-11,883087915.780089
1998-12,968107966.771837
1999-01,979090980.421375
1999-02,977977495.024815
1999-03,977405744.069343
1999-04,977090411.235708
1999-05,976080848.559147
1999-06,978265024.559931
1999-07,978005229.019399
1999-08,977617705.911864
1999-09,974861982.478885
1999-10,974028704.676986
1999-11,969684631.1255369
1999-12,969073746.091959
2000-01,967742046.964885
2000-02,965918659.37885
2000-03,965404914.964564
2000-04,964598106.582302
2000-05,962984200.8848829
2000-06,959725250.8552619
2000-07,958335238.1872799
2000-08,962645066.378823
2000-09,961095032.4310789
2000-10,960923998.215247
2000-11,959057270.289881
2000-12,957969116.531764
2001-01,956918378.570333
2001-02,955897887.8197011
2001-03,953282965.992547
2001-04,952649832.991137
2001-05,951708587.422707
2001-06,952053065.091648
2001-07,950669637.0658281
2001-08,949719212.3809279
2001-09,948500294.244614
2001-10,947985753.038728
2001-11,946554111.687797
2001-12,949063410.489144
2002-01,947388860.798212
2002-02,946260413.439862
2002-03,945281700.734796
2002-04,943199428.394019
2002-05,940453423.633659
2002-06,939505647.3884931
2002-07,938487714.874626
2002-08,937662409.2886521
2002-09,936947932.5352939
2002-10,936274594.4469889
2002-11,935361334.305201
2002-12,937184933.29338
2003-01,935219971.850742
2003-02,933016156.654982
2003-03,932963666.701251
2003-04,930983771.037703
2003-05,930291083.665246
2003-06,928592854.8330599
2003-07,927374509.872508
2003-08,925623140.475301
2003-09,923621811.8318449
2003-10,923290668.761436
2003-11,921009186.605426
2003-12,919366864.04393
2004-01,918089753.084115
2004-02,917403425.240623
2004-03,915996636.718858
2004-04,915399715.841185
2004-05,914421224.578022
2004-06,914702187.12684
2004-07,913622827.380256
2004-08,912334644.365236
2004-09,912134050.145558
2004-10,910199466.109774
2004-11,908337548.548305
2004-12,902210534.839546
2005-01,900400626.4188311
2005-02,898176975.54215
2005-03,896119810.79091
2005-04,894082826.609329
2005-05,893146175.589818
2005-06,890833583.093502
2005-07,889826642.4017531
2005-08,888877455.357685
2005-09,888664980.9130701
2005-10,886573397.535872
2005-11,885056208.486536
2005-12,883535285.24569
2006-01,882917573.547437
2006-02,882197723.588258
2006-03,881236383.016127
2006-04,880421718.565176
2006-05,878025830.634773
2006-06,877942754.847703
2006-07,877030690.424597
2006-08,876353050.613011
2006-09,874389066.327319
2006-10,874070546.801673
2006-11,872900112.902662
2006-12,872245429.948924
2007-01,871846739.3301251
2007-02,871203937.2470139
2007-03,869880692.432047
2007-04,868313508.582374
2007-05,867288580.354332
2007-06,865422004.3643831
2007-07,863005491.1818069
2007-08,862002366.233004
2007-09,860226830.316332
2007-10,859119190.043727
2007-11,858857778.3878961
2007-12,857128763.290823
2008-01,856210400.7541729
2008-02,861242720.12633
2008-03,861485245.688884
2008-04,860467700.985908
2008-05,860003451.476303
2008-06,859270032.69435
2008-07,857801674.627625
2008-08,857711697.83176
2008-09,857200284.324659
2008-10,857497640.9668599
2008-11,857270042.967042
