date,open,high,low,close
2019-01-06,3868.739955187,4104.080838569,3846.981955643,4085.907581678
2019-01-07,4082.095636372,4103.696834349,4027.393340966,4036.958448354
2019-01-08,4040.426868752,4109.513660184,4004.648804149,4030.989305544
2019-01-09,4031.220158622,4066.410720206,4016.859198923,4032.575390529
2019-01-10,4032.372040573,4063.302239641,3656.965007582,3673.215707318
2019-01-11,3671.210547179,3713.285567013,3641.294105448,3678.691683579
2019-01-12,3690.429234323,3697.354503693,3656.990109901,3668.24991968
2019-01-13,3668.577160208,3675.767876524,3545.768209284,3553.227143057
2019-01-14,3555.550456106,3728.417562433,3552.316662444,3705.942605786
2019-01-15,3704.359603919,3721.250727445,3618.688647245,3640.207438973
2019-01-16,3636.621475732,3710.602669414,3630.808410499,3658.246729748
2019-01-17,3654.061564255,3687.616740461,3624.548986953,3684.253014929
2019-01-18,3682.436730965,3686.295784048,3632.797684376,3653.185376139
2019-01-19,3652.353731181,3766.801866732,3650.958251016,3735.953787486
2019-01-20,3732.314578714,3746.098908126,3560.54361857,3583.507435701
2019-01-21,3580.394848908,3649.754615996,3527.19617532,3547.119997129
2019-01-22,3547.775740343,3628.570492611,3476.812119629,3608.383961607
2019-01-23,3606.587749856,3630.196102145,3574.511563021,3592.901430874
2019-01-24,3592.856632416,3627.345746878,3568.758624822,3601.873910558
2019-01-25,3601.92745155,3612.206202075,3563.229319401,3590.982706471
2019-01-26,3591.258308523,3649.321285244,3584.553811289,3595.147523761
2019-01-27,3595.463472868,3605.284864841,3547.930411633,3575.69534679
2019-01-28,3574.356431872,3574.356431872,3427.061509559,3462.059067174
2019-01-29,3459.942105227,3467.838291709,3392.538497169,3438.806393391
2019-01-30,3437.33206711,3480.918095904,3418.85728222,3470.828260383
2019-01-31,3468.567305068,3489.921013106,3431.5557778,3447.812768646
2019-02-01,3444.921906726,3480.373583519,3411.835140276,3474.400614406
2019-02-02,3471.274685499,3502.072822894,3445.452966511,3502.072822894
2019-02-03,3498.020425385,3499.461531698,3432.582850938,3451.480647199
2019-02-04,3453.008649654,3508.056356733,3434.033280102,3453.03218375
2019-02-05,3452.862403378,3471.534749096,3419.747400744,3463.442822071
2019-02-06,3461.934372734,3466.818451914,3391.965467631,3405.55894369
2019-02-07,3406.912628136,3424.179019811,3366.804928507,3382.947413684
2019-02-08,3384.368989555,3703.010371206,3374.517849699,3632.621063544
2019-02-09,3634.179510361,3651.233256781,3615.181021302,3648.622398485
2019-02-10,3648.638905669,3664.267250837,3608.204418369,3663.532766717
2019-02-11,3666.346751167,3666.346751167,3606.968337044,3615.969569845
2019-02-12,3616.569553353,3627.239484869,3581.12020691,3608.1455686
2019-02-13,3605.359538969,3632.689011386,3578.404056205,3590.146720852
2019-02-14,3589.190870666,3611.070420381,3569.897912663,3577.371359712
2019-02-15,3576.132030057,3626.918548558,3568.106289136,3596.820721532
2019-02-16,3596.030689614,3660.517482263,3590.467024705,3599.138222499
2019-02-17,3598.148040489,3637.774895747,3577.450979857,3630.26901901
2019-02-18,3628.785108355,3891.033233383,3622.629503935,3858.949361197
2019-02-19,3859.020359274,3958.537955987,3851.72589553,3893.270396548
2019-02-20,3894.114707158,3951.681707239,3873.88150496,3918.389585518
2019-02-21,3918.183728075,3956.247604617,3881.828977335,3894.540736483
2019-02-22,3897.190164349,3972.317709802,3820.820278809,3970.590294199
2019-02-23,3968.320637954,4143.211868287,3938.935168648,4123.668788587
2019-02-24,4123.504872516,4172.083234272,3784.637178687,3807.506663628
2019-02-25,3808.473252069,3892.454870588,3804.104099487,3868.161644161
2019-02-26,3866.383457476,3870.314694801,3820.217154151,3842.992706537
2019-02-27,3844.368122837,3867.840123562,3785.188773808,3841.615656283
2019-02-28,3839.013237205,3886.919618225,3817.058024429,3845.258312799
2019-03-01,3844.921366184,3861.178589309,3825.991123893,3834.290290069
2019-03-02,3832.522165484,3862.221584261,3809.453704397,3848.655865347
2019-03-03,3845.483709779,3898.093996858,3827.076615763,3881.076222168
2019-03-04,3879.964730091,3919.14606195,3733.917481608,3755.244533692
2019-03-05,3767.755778729,3875.95989518,3738.436474121,3855.0028053
2019-03-06,3857.628117632,3883.832331764,3839.918720328,3873.668095745
2019-03-07,3873.817021979,3911.321319755,3864.757247995,3888.248904326
2019-03-08,3888.634931999,3915.224522058,3854.308002276,3872.141156369
2019-03-09,3872.914024713,3941.820808796,3866.931804879,3931.895283308
2019-03-10,3932.190274542,3932.190274542,3882.908897694,3902.80646271
2019-03-11,3900.462788114,3912.109686138,3855.221924508,3879.103312128
2019-03-12,3882.347879962,3925.106802045,3845.307653784,3901.113915142
2019-03-13,3903.837482165,3914.368483938,3879.644200459,3895.619863392
2019-03-14,3896.671800296,3924.174554114,3883.217836303,3900.376687091
2019-03-15,3897.143080486,3947.511201251,3892.042261152,3928.041328852
2019-03-16,3939.145756798,4051.957711268,3939.145756798,4024.229285339
2019-03-17,4022.969398171,4036.719225768,3982.223905902,4007.166919858
2019-03-18,4008.284983797,4046.607040693,3975.356198882,4020.470961551
2019-03-19,4016.775380202,4048.74796906,4005.380860171,4039.787113996
2019-03-20,4036.494784049,4078.511718087,4012.040945943,4075.319876766
2019-03-21,4079.189802352,4093.784724444,4004.765643649,4024.283201515
2019-03-22,4021.931406788,4031.364278194,4013.348776575,4017.939706485
2019-03-23,4019.754260699,4043.791033026,4013.495429475,4034.593701872
2019-03-24,4033.555246062,4080.429132322,4012.282392053,4024.480055518
2019-03-25,4023.328814622,4038.832775001,3944.469301742,3969.701717355
2019-03-26,3968.279256983,3987.170101869,3954.053909398,3980.620043073
